date,EURUSD,GBPUSD,USDJPY
2019-01-02,1.1357,1.2598,109.22
2019-01-03,1.1399,1.2633,108.07
2019-01-04,1.141,1.274,108.29
2019-01-07,1.1468,1.2757,108.62
2019-01-08,1.1444,1.2724,108.57
2019-01-09,1.1524,1.2764,108.38
2019-01-10,1.1517,1.2768,108.29
2019-01-11,1.1479,1.2836,108.34
2019-01-15,1.1392,1.2761,108.72
2019-01-16,1.1408,1.2862,108.84
2019-01-17,1.1386,1.294,109.01
2019-01-18,1.1362,1.2898,109.79
2019-01-22,1.1359,1.2955,109.34
2019-01-23,1.139,1.3074,109.44
2019-01-24,1.1322,1.3027,109.72
2019-01-25,1.1407,1.3176,109.6
2019-01-28,1.1438,1.3158,109.2
2019-01-29,1.1424,1.3146,109.36
2019-01-30,1.1418,1.3062,109.57
2019-01-31,1.1454,1.3135,108.84
2019-02-01,1.1474,1.3094,109.55
2019-02-04,1.1438,1.3068,109.96
2019-02-05,1.1406,1.2947,109.99
2019-02-06,1.138,1.2956,109.75
2019-02-07,1.1357,1.2966,109.7
2019-02-08,1.1326,1.2933,109.76
2019-02-11,1.1277,1.2862,110.4
2019-02-12,1.1316,1.2887,110.5
2019-02-13,1.1288,1.2865,110.86
2019-02-14,1.1284,1.2793,110.68
2019-02-15,1.1268,1.2857,110.54
2019-02-19,1.1328,1.3036,110.68
2019-02-21,1.1338,1.306,110.72
2019-02-22,1.1342,1.3067,110.7
2019-02-25,1.1345,1.3059,111.07
2019-02-26,1.1374,1.3252,110.76
2019-02-27,1.137,1.3318,110.92
2019-02-28,1.1379,1.3274,111.38
2019-03-01,1.1376,1.3222,111.89
2019-03-04,1.1328,1.3186,111.68
2019-03-05,1.13,1.3141,111.98
2019-03-06,1.132,1.3148,111.66
2019-03-07,1.1214,1.3107,111.6
2019-03-08,1.1243,1.301,111.11
2019-03-11,1.1226,1.3095,111.21
2019-03-12,1.1276,1.3101,111.38
2019-03-13,1.131,1.323,111.23
2019-03-14,1.1304,1.3281,111.71
2019-03-15,1.1326,1.3278,111.57
2019-03-18,1.1337,1.3223,111.41
2019-03-19,1.1346,1.3263,111.38
2019-03-20,1.1352,1.3191,111.41
2019-03-21,1.1361,1.3073,110.86
2019-03-22,1.1282,1.3219,109.76
2019-03-25,1.1324,1.3203,110.09
2019-03-26,1.128,1.3215,110.5
2019-03-27,1.125,1.3192,110.38
2019-03-28,1.1236,1.3088,110.54
2019-03-29,1.1228,1.3032,110.68
2019-04-01,1.121,1.3144,111.29
2019-04-02,1.1186,1.3035,111.32
2019-04-03,1.1242,1.3181,111.48
2019-04-04,1.1216,1.3072,111.55
2019-04-05,1.1217,1.301,111.71
2019-04-08,1.1262,1.3048,111.47
2019-04-09,1.1278,1.3048,111.08
2019-04-10,1.1266,1.31,110.92
2019-04-11,1.1262,1.3068,111.48
2019-04-12,1.1304,1.3086,112.0
2019-04-15,1.1304,1.3105,112.0
2019-04-16,1.1293,1.3049,111.95
2019-04-17,1.1297,1.3036,112.0
2019-04-18,1.1241,1.3003,111.94
2019-04-19,1.1246,1.3003,111.92
2019-04-22,1.1258,1.2983,111.94
2019-04-23,1.1213,1.2943,111.86
2019-04-24,1.1192,1.2947,111.81
2019-04-25,1.114,1.2901,111.59
2019-04-26,1.1154,1.293,111.6
2019-04-29,1.1166,1.2924,111.8
2019-04-30,1.1201,1.303,111.4
2019-05-01,1.1246,1.3091,111.18
2019-05-02,1.1184,1.3032,111.39
2019-05-03,1.1186,1.3139,111.28
2019-05-06,1.1197,1.3093,110.86
2019-05-07,1.1178,1.3052,110.34
2019-05-08,1.1206,1.3014,110.12
2019-05-09,1.1228,1.3013,109.55
2019-05-10,1.1241,1.3036,109.56
2019-05-13,1.1232,1.2961,109.18
2019-05-14,1.1207,1.2921,109.68
2019-05-15,1.1208,1.2878,109.58
2019-05-16,1.1178,1.2803,109.89
2019-05-17,1.1166,1.2723,109.9
2019-05-20,1.117,1.2718,109.96
2019-05-21,1.1158,1.2747,110.6
2019-05-22,1.1156,1.2674,110.28
2019-05-23,1.1172,1.2666,109.58
2019-05-24,1.1197,1.27,109.38
2019-05-28,1.1177,1.2668,109.49
2019-05-29,1.1136,1.2631,109.24
2019-05-30,1.114,1.2619,109.67
2019-05-31,1.1149,1.262,108.66
2019-06-03,1.1206,1.2621,108.39
2019-06-04,1.1236,1.2675,108.3
2019-06-05,1.1242,1.2706,108.2
2019-06-06,1.1294,1.2713,108.08
2019-06-07,1.1324,1.274,108.15
2019-06-10,1.1311,1.2684,108.56
2019-06-11,1.1316,1.2724,108.52
2019-06-12,1.131,1.2693,108.42
2019-06-13,1.1275,1.2678,108.44
2019-06-14,1.1217,1.2601,108.44
2019-06-17,1.1235,1.2568,108.56
2019-06-18,1.1196,1.2547,108.39
2019-06-19,1.1214,1.2625,108.36
2019-06-20,1.1284,1.27,107.52
2019-06-21,1.1328,1.2703,107.55
2019-06-24,1.1393,1.2728,107.36
