date,EURUSD,GBPUSD,USDJPY
2012-01-03,1.3061,1.5655,76.67
2012-01-04,1.293,1.5638,76.68
2012-01-05,1.2783,1.548,77.18
2012-01-06,1.2723,1.5431,77.06
2012-01-09,1.2745,1.5436,76.88
2012-01-10,1.2782,1.5489,76.84
2012-01-11,1.2686,1.5325,76.9
2012-01-12,1.2818,1.5325,76.76
2012-01-13,1.2682,1.5301,76.9
2012-01-17,1.274,1.5356,76.8
2012-01-18,1.2825,1.541,76.81
2012-01-19,1.2937,1.5484,77.23
2012-01-20,1.2948,1.554,76.97
2012-01-23,1.3035,1.5582,76.92
2012-01-24,1.3004,1.5595,77.78
2012-01-25,1.2978,1.557,78.13
2012-01-26,1.3152,1.5706,77.47
2012-01-27,1.3192,1.5716,76.68
2012-01-30,1.3123,1.569,76.28
2012-01-31,1.3053,1.5754,76.34
2012-02-01,1.3179,1.5849,76.11
2012-02-02,1.3167,1.5813,76.13
2012-02-03,1.3106,1.5779,76.54
2012-02-06,1.313,1.5832,76.54
2012-02-07,1.3244,1.5891,76.88
2012-02-08,1.3253,1.582,76.9
2012-02-09,1.3297,1.5838,77.42
2012-02-10,1.3187,1.5748,77.57
2012-02-13,1.3211,1.578,77.52
2012-02-14,1.3149,1.5691,78.39
2012-02-15,1.3087,1.571,78.22
2012-02-16,1.311,1.5795,78.77
2012-02-17,1.3149,1.5813,79.33
2012-02-21,1.3255,1.5796,79.73
2012-02-22,1.3251,1.5677,80.3
2012-02-23,1.3308,1.57,80.21
2012-02-24,1.3463,1.5869,80.88
2012-02-27,1.341,1.5845,80.42
2012-02-28,1.3452,1.5887,80.44
2012-02-29,1.3359,1.5951,81.1
2012-03-01,1.332,1.5953,81.16
2012-03-02,1.3202,1.5852,81.56
2012-03-05,1.3226,1.587,81.43
2012-03-06,1.3114,1.572,80.86
2012-03-07,1.3149,1.5746,81.06
2012-03-08,1.3256,1.5822,81.5
2012-03-09,1.3108,1.5677,82.59
2012-03-12,1.3141,1.5615,82.21
2012-03-13,1.3109,1.5736,82.66
2012-03-14,1.3025,1.5686,83.78
2012-03-15,1.307,1.5669,83.28
2012-03-16,1.3171,1.5845,83.34
2012-03-19,1.3242,1.5894,83.31
2012-03-20,1.3222,1.5857,83.62
2012-03-21,1.319,1.5848,83.62
2012-03-22,1.3194,1.5807,82.5
2012-03-23,1.3263,1.5864,82.35
2012-03-26,1.3328,1.5939,82.84
2012-03-27,1.3336,1.5972,83.15
2012-03-28,1.33,1.5855,82.74
2012-03-29,1.3265,1.5911,82.28
2012-03-30,1.3334,1.5985,82.41
2012-04-02,1.3325,1.6022,82.16
2012-04-03,1.3337,1.5966,82.18
2012-04-04,1.3126,1.5879,82.62
2012-04-05,1.3064,1.5822,82.33
2012-04-06,1.3089,1.5877,81.56
2012-04-09,1.3087,1.5879,81.36
2012-04-10,1.3068,1.5836,80.94
2012-04-11,1.3104,1.5892,80.88
2012-04-12,1.3171,1.5939,80.87
2012-04-13,1.3082,1.5851,80.99
2012-04-16,1.3067,1.5865,80.46
2012-04-17,1.3123,1.5931,80.72
2012-04-18,1.3122,1.602,81.29
2012-04-19,1.3132,1.6058,81.57
2012-04-20,1.3212,1.6123,81.6
2012-04-23,1.3129,1.6102,81.16
2012-04-24,1.3207,1.6135,81.21
2012-04-25,1.321,1.6146,81.33
